Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
10/17/1988,Jozef Just,Czechoslovakia,Disappearance,"27.9882° N, 86.9254° E",1
10/17/1988,Jaroslav Jaško,Czechoslovakia,Disappearance,"27.9882° N, 86.9254° E",1
10/17/1988,Peter Božík,Czechoslovakia,Disappearance,"27.9882° N, 86.9254° E",1
10/17/1988,Dušan Becík,Czechoslovakia,Disappearance,"27.9882° N, 86.9254° E",1
10/13/1988,Pasang Temba,Nepal,Fall,"27.9882° N, 86.9254° E",1
10/13/1988,Lhakpa Sonam,Nepal,Fall,"27.9882° N, 86.9254° E",1
9/21/1988,Narayan Shrestha,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/20/1988,Michel Parmentier,France,Exposure,"27.9882° N, 86.9254° E",1
4/21/1988,Hidetaka Mizukoshi,Japan,Heart Attack,"27.9882° N, 86.9254° E",1
10/20/1987,Mangal Singh,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/2/1987,Masao Yokoyama,Japan,Drowned,"27.9882° N, 86.9254° E",1
5/21/1987,Roger Marshall,Canada,Disappearance,"27.9882° N, 86.9254° E",1
1/30/1987,Tsuttin Dorje,Nepal,Fall,"27.9882° N, 86.9254° E",1
10/17/1986,Dawa Norbu,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
10/4/1986,Gyalu,Nepal,Crushed under serac,"27.9882° N, 86.9254° E",1
9/28/1986,Simon Burkhardt,Switzerland,Avalanche,"27.9882° N, 86.9254° E",1
8/16/1986,Víctor Hugo Trujillo,Chile,Avalanche,"27.9882° N, 86.9254° E",1
10/11/1985,M.U. Bhaskar Rao,India,Exposure,"27.9882° N, 86.9254° E",1
10/11/1985,Vijay Pal Singh Negi,India,Exposure,"27.9882° N, 86.9254° E",1
10/11/1985,Ranjeet Singh Bakshi,India,Exposure,"27.9882° N, 86.9254° E",1
10/11/1985,Jai Bahugana,India,Exposure,"27.9882° N, 86.9254° E",1
10/7/1985,Kiran Inder Kumar,India,Fall,"27.9882° N, 86.9254° E",1
9/19/1985,Shinichi Ishii,Japan,Avalanche,"27.9882° N, 86.9254° E",1
5/12/1985,Juanjo Navarro,Spain,Fall,"27.9882° N, 86.9254° E",1
10/24/1984,Yogendra Bahadur Thapa,Nepal,Fall,"27.9882° N, 86.9254° E",1
10/24/1984,Ang Dorje,Nepal,Fall,"27.9882° N, 86.9254° E",1
10/16/1984,Jozef Psotka,Czechoslovakia,Fall,"27.9882° N, 86.9254° E",1
10/9/1984,Craig Nottle,Australia,Fall,"27.9882° N, 86.9254° E",1
10/9/1984,William (Fred) From,Australia,Fall,"27.9882° N, 86.9254° E",1
4/21/1984,Hristo Ivanov Prodanov,Bulgaria,Disappearance,"27.9882° N, 86.9254° E",1
4/3/1984,Tony Swierzy,United Kingdom,Avalanche,"27.9882° N, 86.9254° E",1
3/26/1984,Ang Rinji,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
10/9/1983,Hiroshi Yoshino,Japan,Fall,"27.9882° N, 86.9254° E",1
10/8/1983,Pasang Temba,Nepal,Fall,"27.9882° N, 86.9254° E",1
10/8/1983,Hironobu Kamuro,Japan,Fall,"27.9882° N, 86.9254° E",1
12/28/1982,Toshiaki Kobayashi,Japan,Disappearance,"27.9882° N, 86.9254° E",1
12/28/1982,Yasuo Kato,Japan,Disappearance,"27.9882° N, 86.9254° E",1
10/14/1982,Nima Dorje,Nepal,Fall,"27.9882° N, 86.9254° E",1
9/27/1982,Lhakpa Tshering,Nepal,Internal hemorrhage,"27.9882° N, 86.9254° E",1
9/2/1982,Blair Griffiths,Canada,Crushed under serac,"27.9882° N, 86.9254° E",1
8/31/1982,Pasang Sona,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
8/31/1982,Dawa Dorje,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
8/31/1982,Ang Chuldim,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
5/17/1982,Joe Tasker,United Kingdom,Disappearance,"27.9882° N, 86.9254° E",1
5/17/1982,Peter Boardman,United Kingdom,Disappearance,"27.9882° N, 86.9254° E",1
5/15/1982,Marty Hoey,United States,Fall,"27.9882° N, 86.9254° E",1
1/12/1981,Noboru Takenaka,Japan,Fall,"27.9882° N, 86.9254° E",1
9/22/1980,Mario Piana,Italy,Crushed under serac,"27.9882° N, 86.9254° E",1
9/6/1980,Nawang Kersang,Nepal,Fall,"27.9882° N, 86.9254° E",1
5/2/1980,Akira Ube,Japan,Avalanche,"27.9882° N, 86.9254° E",1
10/12/1979,Nima Thaxi,China,Avalanche,"27.9882° N, 86.9254° E",1
10/12/1979,,China,Avalanche,"27.9882° N, 86.9254° E",1
10/12/1979,Wang Hong-bao,China,Avalanche,"27.9882° N, 86.9254° E",1
10/2/1979,Hannelore Schmatz,Germany,Exhaustion,"27.9882° N, 86.9254° E",1
10/2/1979,Ray Genet,United States,Exhaustion,"27.9882° N, 86.9254° E",1
5/16/1979,Ang Phu,Nepal,Fall,"27.9882° N, 86.9254° E",1
4/18/1978,Shi Ming-ji,China,Fall into crevasse,"27.9882° N, 86.9254° E",1
4/18/1978,Dawa Nuru,Nepal,Fall into crevasse,"27.9882° N, 86.9254° E",1
4/10/1976,Terry Thompson,United Kingdom,Fall into crevasse,"27.9882° N, 86.9254° E",1
9/26/1975,Mick Burke,United Kingdom,Disappearance,"27.9882° N, 86.9254° E",1
8/1/1975,Unknown; deaf-mute Sherpa porter,Nepal,Drowned,"27.9882° N, 86.9254° E",1
5/4/1975,Wu Zhuong Yue,China,Fall,"27.9882° N, 86.9254° E",1
9/9/1974,Sanu Wongal,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/9/1974,Nima Wangchu,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/9/1974,Nawang Lutuk,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/9/1974,Lhakpa,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/9/1974,Pemba Dorje,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/9/1974,Gérard Devouassoux,France,Avalanche,"27.9882° N, 86.9254° E",1
10/12/1973,Jangbu,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
11/16/1972,Tony Tighe,Australia,Crushed under serac,"27.9882° N, 86.9254° E",1
4/18/1971,Harsh Vardhan,India,Fall,"27.9882° N, 86.9254° E",1
4/21/1970,Kiyoshi Narita,Japan,Heart attack,"27.9882° N, 86.9254° E",1
4/9/1970,Kyak Tsering,Nepal,Fall,"27.9882° N, 86.9254° E",1
4/5/1970,Kami Tshering,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
4/5/1970,Pasang,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
4/5/1970,Mima Norbu,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
